schema_name,function_name,type_desc,create_date,modify_date,definition_length,definition_preview
dbo,GetPatientPaymentTransaction,SQL_INLINE_TABLE_VALUED_FUNCTION,2016-05-11 00:04:36.270,2025-06-25 07:55:36.823,2005,"CREATE FUNCTION [dbo].[GetPatientPaymentTransaction]
(
    @TransactionDate as datetime,
	@CompanyID as varchar(20),
	@listOrderId as varchar(max)
)
RETURNS TABLE
AS
RETURN
(
    SELECT 
        ROW_NUMBER() OVER( ORDER BY o.ordernum, pt.transactionid, ppd.amount desc ) as Row 
        , p.id as PatientId
        , coalesce(p.firstname, '') as PatientFirstName 
        , coalesce(p.lastname, '') as PatientLastName 
        , o.ordernum as OrderNum 
        , isum.invoiceid as InvoiceId 
        "
dbo,GetPatientOrdersWithBalance,SQL_INLINE_TABLE_VALUED_FUNCTION,2016-05-11 00:04:36.257,2025-06-25 07:55:36.817,2525,"CREATE FUNCTION [dbo].[GetPatientOrdersWithBalance]
(
    @TransactionDate as datetime,
	@CompanyID as varchar(20)
)
RETURNS TABLE
AS
RETURN
(

SELECT    
	s.OfficeNum, 
	p.LastName, 
	p.FirstName,   
	isnull(pp.PhoneNumber,'') as PrimaryPhone , 
	MAX(OrderDate) as OrderDate,
	OrderNum as OrderNum,
	SUM(OrderAmount) AS OrderAmount, 
	MAX(LastPaymentDate) AS LastPaymentDate,
	SUM(OrderAmount) + SUM(PaidAmount) AS Balance,
	SUM(PaidAmount) AS PaidAmount,
	isnull(CustomerID,0) as CustomerID
FROM   "
dbo,fn_DiscountDetail,SQL_INLINE_TABLE_VALUED_FUNCTION,2022-08-16 12:33:48.047,2025-06-25 07:55:36.810,3623,"CREATE FUNCTION [dbo].[fn_DiscountDetail]
(	
	@fromDate datetime,
	@toDate datetime
)
RETURNS TABLE 
AS
RETURN 
(
    SELECT isum.ordernum,sum(Discount) AS discount,p.firstname + ' ' + p.lastname AS patientname,pt.invoicesummaryid,
        isum.discounttypeid,pt.EmployeeId AS Associate, o.OrderDate, pt.TransactionDate,pt.officenum 
    FROM invoicedet id
        INNER JOIN invoicesum isum ON id.invoiceid = isum.invoiceid  AND (isum.discounttypeid NOT IN (SELECT discounttypeid FROM invoicedet WHE"
dbo,GetPatientBillingTransaction,SQL_INLINE_TABLE_VALUED_FUNCTION,2016-05-11 00:04:36.243,2025-06-25 07:55:36.800,2886,"CREATE FUNCTION [dbo].[GetPatientBillingTransaction]
(
    @TransactionDate as datetime,
	@CompanyID as varchar(20),
	@listOrderId as varchar(max)
)
RETURNS TABLE
AS
RETURN
(
	SELECT 
        ROW_NUMBER() OVER( ORDER BY o.ordernum, bli.invoicedetaillinenum, bt.transid ) as Row 
        ,p.firstname as PatientFirstName 
        ,p.lastname as PatientLastName 
		,p.Id as PatientId
		,o.OfficeNum as OfficeNum
        ,o.ordernum as OrderNum 
        ,bc.claimid as ClaimId 
        ,bc.primaryflag a"
dbo,GetPatientPosTransaction,SQL_INLINE_TABLE_VALUED_FUNCTION,2016-05-11 00:04:36.283,2025-06-25 07:55:36.790,4197,"CREATE FUNCTION [dbo].[GetPatientPosTransaction]
(
    @TransactionDate as datetime,
	@CompanyID as varchar(20),
	@listOrderId as varchar(MAX)
)
RETURNS TABLE
AS
RETURN
(
	SELECT 
        ROW_NUMBER() OVER( ORDER BY o.ordernum, id.linenum, pt.transactionid ) as Row 
        , p.id as PatientId 
            , coalesce(p.firstname, '') as PatientFirstName 
            , coalesce(p.lastname, '') as PatientLastName 
        , offc.officenum as OfficeNum 
            , offc.officename as OfficeName 
"
dbo,fn_LookupFrameItem,SQL_INLINE_TABLE_VALUED_FUNCTION,2021-09-13 14:33:00.920,2025-01-15 07:55:55.250,3224,"CREATE FUNCTION [dbo].[fn_LookupFrameItem]
(
	  @companyId nvarchar(20)
	, @officeNum varchar(8)
    , @itemId int
)
RETURNS TABLE
AS
RETURN
(SELECT        
          itm.ID AS ItemID
        , isnull(icm.CompanyItemName, itm.ItemName) as CompanyItemName
        , m.Name as Manufacturer
        , m.Name as Vendor
        , fc.Description AS Collection
        , isnull(itf.Color,'None') as Color
        , isnull(catelcolfam.Value,'None') as ColorFamily
        , isnull(catelshp.Value,'None') AS S"
dbo,fn_LookupFrames_Filters,SQL_INLINE_TABLE_VALUED_FUNCTION,2021-09-13 14:33:00.943,2025-01-01 07:56:01.107,1871,"CREATE FUNCTION [dbo].[fn_LookupFrames_Filters]
(
	@companyId nvarchar(20)
)
RETURNS TABLE
AS
RETURN
(SELECT   distinct     
		isnull(fst.FrameCategoryID,-1) AS CategoryID
        , isnull(catelcat.Value,'None') AS Category
        , isnull(fst.AgeGroupID,-1) as AgeGroupID
        , isnull(catelage.Value,'None') AS AgeGroup
        , isnull(fst.GenderTypeID,-1) as GenderTypeID
        , isnull(catelgen.Value,'None') AS GenderType
        , isnull(itm.ItemStatusID,-1) AS StatusID
        , isnull"
dbo,fn_LookupFramesAllowUnMapped,SQL_INLINE_TABLE_VALUED_FUNCTION,2024-09-13 07:56:21.530,2025-01-01 07:56:01.103,2292,"CREATE FUNCTION [dbo].[fn_LookupFramesAllowUnMapped]
(
	  @companyId varchar(20)
	, @officeNum varchar(8)
	, @includeUnMapped bit
)
RETURNS TABLE
AS
RETURN
(SELECT 
     fs.ID AS ItemID
     , fs.UPCCode
     , fs.itemNum AS ItemNumber
     , fs.CollectionDescription AS Collection
     , fst.Style
     , isnull(fs.Color,'None') as Color
     , fs.Eye
     , fs.Bridge
     , fs.Temple
     , [dbo].[fn_getLookupitemprice](@officeNum,fs.id) as Retail
     , isnull(ib.OnHand,0) as OnHand		
     , fs"
dbo,fn_LookupEGLenses,SQL_INLINE_TABLE_VALUED_FUNCTION,2021-09-13 14:33:00.913,2025-01-01 07:56:01.097,3536,"CREATE FUNCTION [dbo].[fn_LookupEGLenses]
(	
		@companyId nvarchar(20)
)
RETURNS TABLE 
AS
RETURN 
(
	SELECT  itm.ID AS ItemID, itm.ItemNum AS ItemNumber, itegt.Description AS Type, itegs.Description AS Style, itmat.Description AS Material, itcol.Description AS Color, itct.Description AS Coating, egl.SphereMin, egl.SphereMax, 
                         egl.CylinderMin, egl.CylinderMax, egl.AddMin, egl.AddMax, egl.MinSegHeight AS SegHeightMin, egl.MaxSegHeight AS SegHeightMax, ISNULL(itm.ItemNum, "
dbo,fn_LookupFrames_Collections,SQL_INLINE_TABLE_VALUED_FUNCTION,2021-09-13 14:33:00.937,2025-01-01 07:56:01.093,516,"CREATE FUNCTION [dbo].[fn_LookupFrames_Collections]
(
	@companyId varchar(20)
)
RETURNS TABLE
AS
RETURN
(with cte (datasourceid)
	as (select datasourceid from companyinfo where id = @CompanyId union select 1)
	SELECT
		distinct      
		fs.CollectionDescription AS Collection
		, fs.CollectionID
	FROM            
		dbo.FrameSearch AS fs WITH (nolock) 
		INNER JOIN dbo.ItemCompanyMapping AS icm WITH (nolock) ON icm.ItemID = fs.ID and icm.CompanyID=@companyId
		INNER JOIN cte on fs.DataSourceId = ct"
